"case_ID","Countryname","Year","Letter","partyID","Country","partyNAME"
"Canada_2008","Canada","2008","E",1240005,"Canada","  Green Party (GP)"
"Canada_2011","Canada","2011","A",1240002,"Canada","  Conservative Party (CP)"
"Canada_2011","Canada","2011","B",1240003,"Canada","  New Democratic Party (NDP)"
"Canada_2011","Canada","2011","C",1240001,"Canada","  Liberal Party (LIB)"
"Canada_2011","Canada","2011","D",1240004,"Canada","  Bloc Quebecois (BQ) - SEE POLITY NOTES"
"Canada_2011","Canada","2011","E",1240005,"Canada","  Green Party (GP)"
"Canada_2015","Canada","2015","A",1240001,"Canada","  Liberal Party (LIB)"
"Canada_2015","Canada","2015","B",1240002,"Canada","  Conservative Party (CP)"
"Canada_2015","Canada","2015","C",1240003,"Canada","  New Democratic Party (NDP)"
"Canada_2015","Canada","2015","D",1240004,"Canada","  Bloc Quebecois (BQ) - SEE POLITY NOTES"
"Canada_2015","Canada","2015","E",1240005,"Canada","  Green Party (GP)"
"Canada_2019","Canada","2019","A",1240002,"Canada","  Conservative Party (CP)"
"Canada_2019","Canada","2019","B",1240001,"Canada","  Liberal Party (LIB)"
"Canada_2019","Canada","2019","C",1240003,"Canada","  New Democratic Party (NDP)"
"Canada_2019","Canada","2019","D",1240004,"Canada","  Bloc Quebecois (BQ) - SEE POLITY NOTES"
"Canada_2019","Canada","2019","E",1240005,"Canada","  Green Party (GP)"
"Canada_2019","Canada","2019","F",1240009,"Canada","  People's Party (PP) "
"Switzerland_1999","Switzerland","1999","A",7560001,"Switzerland","  Swiss People's Party (SVP / UDC)"
"Switzerland_1999","Switzerland","1999","B",7560002,"Switzerland","  Social Democratic Party (SP / PS)"
"Switzerland_1999","Switzerland","1999","C",7560024,"Switzerland","  Radical Democratic Party (FDP / PLR) - SEE ELECTION STUDY NOTES"
"Switzerland_1999","Switzerland","1999","D",7560003,"Switzerland","  Christian Democratic People's Party (CVP / PDC)"
"Switzerland_1999","Switzerland","1999","E",7560005,"Switzerland","  Green Party (GPS / PES)"
"Switzerland_1999","Switzerland","1999","F",7560014,"Switzerland","  Liberal Party (LPS / PLS) - SEE POLITY NOTES"
"Switzerland_2003","Switzerland","2003","A",7560001,"Switzerland","  Swiss People's Party (SVP / UDC)"
"Switzerland_2003","Switzerland","2003","B",7560002,"Switzerland","  Social Democratic Party (SP / PS)"
"Switzerland_2003","Switzerland","2003","C",7560024,"Switzerland","  Radical Democratic Party (FDP / PLR) - SEE ELECTION STUDY NOTES"
"Switzerland_2003","Switzerland","2003","D",7560003,"Switzerland","  Christian Democratic People's Party (CVP / PDC)"
"Switzerland_2003","Switzerland","2003","E",7560005,"Switzerland","  Green Party (GPS / PES)"
"Switzerland_2007","Switzerland","2007","A",7560001,"Switzerland","  Swiss People's Party (SVP / UDC)"
"Switzerland_2007","Switzerland","2007","B",7560002,"Switzerland","  Social Democratic Party (SP / PS)"
"Switzerland_2007","Switzerland","2007","C",7560024,"Switzerland","  Radical Democratic Party (FDP / PLR) - SEE ELECTION STUDY NOTES"
"Switzerland_2007","Switzerland","2007","D",7560003,"Switzerland","  Christian Democratic People's Party (CVP / PDC)"
"Switzerland_2007","Switzerland","2007","E",7560005,"Switzerland","  Green Party (GPS / PES)"
"Switzerland_2007","Switzerland","2007","F",7560006,"Switzerland","  Evangelical People's Party (EVP / PEP)"
"Switzerland_2007","Switzerland","2007","G",7560014,"Switzerland","  Liberal Party (LPS / PLS) - SEE POLITY NOTES"
"Switzerland_2007","Switzerland","2007","H",7560008,"Switzerland","  Ticino League (Lega)"
"Switzerland_2011","Switzerland","2011","A",7560001,"Switzerland","  Swiss People's Party (SVP / UDC)"
"Switzerland_2011","Switzerland","2011","B",7560002,"Switzerland","  Social Democratic Party (SP / PS)"
"Switzerland_2011","Switzerland","2011","C",7560004,"Switzerland","  The Liberals (FDP / PLR) - SEE POLITY NOTES"
"Switzerland_2011","Switzerland","2011","D",7560003,"Switzerland","  Christian Democratic People's Party (CVP / PDC)"
"Switzerland_2011","Switzerland","2011","E",7560005,"Switzerland","  Green Party (GPS / PES)"
"Switzerland_2011","Switzerland","2011","F",7560006,"Switzerland","  Evangelical People's Party (EVP / PEP)"
"Switzerland_2011","Switzerland","2011","G",7560008,"Switzerland","  Ticino League (Lega)"
"Chile_1999","Chile","1999","A",1520005,"Chile","  Party for Democracy (PPD)"
"Chile_1999","Chile","1999","B",1520002,"Chile","  Independent Democratic Union (UDI)"
"Chile_1999","Chile","1999","C",1520006,"Chile","  Communist Party of Chile (PCCh)"
"Chile_1999","Chile","1999","D",1520014,"Chile","  Humanist Party (PH)"
"Chile_1999","Chile","1999","F",1520021,"Chile","  Progressive Center-Center Union (UCCP)"
"Chile_2005","Chile","2005","A",1520002,"Chile","  Independent Democratic Union (UDI)"
"Chile_2005","Chile","2005","B",1520001,"Chile","  Christian Democratic Party (PDC)"
"Chile_2005","Chile","2005","C",1520005,"Chile","  Party for Democracy (PPD)"
"Chile_2005","Chile","2005","D",1520003,"Chile","  National Renewal (RN)"
"Chile_2005","Chile","2005","E",1520004,"Chile","  Socialist Party of Chile (PSCH)"
"Chile_2005","Chile","2005","F",1520006,"Chile","  Communist Party of Chile (PCCh)"
"Chile_2009","Chile","2009","A",1520002,"Chile","  Independent Democratic Union (UDI)"
"Chile_2009","Chile","2009","B",1520003,"Chile","  National Renewal (RN)"
"Chile_2009","Chile","2009","C",1520001,"Chile","  Christian Democratic Party (PDC)"
"Chile_2009","Chile","2009","D",1520005,"Chile","  Party for Democracy (PPD)"
"Chile_2009","Chile","2009","E",1520004,"Chile","  Socialist Party of Chile (PSCH)"
"Chile_2009","Chile","2009","F",1520011,"Chile","  Peruvian Aprista Party (PAP)"
"Chile_2009","Chile","2009","G",1520006,"Chile","  Communist Party of Chile (PCCh)"
"Chile_2009","Chile","2009","H",1520012,"Chile","  Electoral list of Marco Enriquez-Ominamo (MEO)"
"Chile_2009","Chile","2009","I",1520007,"Chile","  Radical Social-Democratic Party (PRSD)"
"Chile_2017","Chile","2017","A",1520003,"Chile","  National Renewal (RN)"
"Chile_2017","Chile","2017","B",1520002,"Chile","  Independent Democratic Union (UDI)"
"Chile_2017","Chile","2017","C",1520001,"Chile","  Christian Democratic Party (PDC)"
"Chile_2017","Chile","2017","D",1520004,"Chile","  Socialist Party of Chile (PSCH)"
"Chile_2017","Chile","2017","E",1520005,"Chile","  Party for Democracy (PPD)"
"Chile_2017","Chile","2017","F",1520008,"Chile","  Democratic Revolution (RD)"
"Chile_2017","Chile","2017","G",1520006,"Chile","  Communist Party of Chile (PCCh)"
"Chile_2017","Chile","2017","H",1520009,"Chile","  Political Evolution (Evopoli)"
"Chile_2017","Chile","2017","I",1520007,"Chile","  Radical Social-Democratic Party (PRSD)"
"Costa Rica_2018","Costa Rica","2018","A",1880001,"Costa Rica","  National Liberation Party (PLN)"
"Costa Rica_2018","Costa Rica","2018","B",1880002,"Costa Rica","  National Restoration Party (PRN)"
"Costa Rica_2018","Costa Rica","2018","C",1880003,"Costa Rica","  Citizens' Action Party (PAC)"
"Costa Rica_2018","Costa Rica","2018","D",1880004,"Costa Rica","  Social Christian Unity Party (PUSC)"
"Costa Rica_2018","Costa Rica","2018","E",1880005,"Costa Rica","  National Integration Party (PIN)"
"Costa Rica_2018","Costa Rica","2018","F",1880006,"Costa Rica","  Social Christian Republican Party (PRSC)"
"Costa Rica_2018","Costa Rica","2018","G",1880007,"Costa Rica","  Broad Front (FA)"
"Costa Rica_2018","Costa Rica","2018","H",1880008,"Costa Rica","  Christian Democratic Alliance (ADC)"
"Costa Rica_2018","Costa Rica","2018","I",1880009,"Costa Rica","  Libertarian Movement (PML)"
"Czech Republic/Czechia_1996","Czech Republic/Czechia","1996","A",2030002,"Czech Republic/Czechia","  Civic Democratic Party (ODS)"
"Czech Republic/Czechia_1996","Czech Republic/Czechia","1996","B",2030001,"Czech Republic/Czechia","  Czech Social Democratic Party (CSSD)"
"Czech Republic/Czechia_1996","Czech Republic/Czechia","1996","C",2030004,"Czech Republic/Czechia","  Communist Party of Bohemia and Moravia (KSCM)"
"Czech Republic/Czechia_1996","Czech Republic/Czechia","1996","D",2030003,"Czech Republic/Czechia","  Christian Democratic Union - Czech People's Party (KDU-CSL)"
"Czech Republic/Czechia_1996","Czech Republic/Czechia","1996","E",2030018,"Czech Republic/Czechia","  Association for the Republic - Czech Republican Party (SPR-RSC)"
"Czech Republic/Czechia_1996","Czech Republic/Czechia","1996","F",2030011,"Czech Republic/Czechia","  Civic Democratic Alliance (ODA)"
"Czech Republic/Czechia_2002","Czech Republic/Czechia","2002","A",2030001,"Czech Republic/Czechia","  Czech Social Democratic Party (CSSD)"
"Czech Republic/Czechia_2002","Czech Republic/Czechia","2002","B",2030002,"Czech Republic/Czechia","  Civic Democratic Party (ODS)"
"Czech Republic/Czechia_2002","Czech Republic/Czechia","2002","C",2030004,"Czech Republic/Czechia","  Communist Party of Bohemia and Moravia (KSCM)"
"Czech Republic/Czechia_2002","Czech Republic/Czechia","2002","D",2030003,"Czech Republic/Czechia","  Christian Democratic Union - Czech People's Party (KDU-CSL)"
"Czech Republic/Czechia_2002","Czech Republic/Czechia","2002","E",2030017,"Czech Republic/Czechia","  Freedom Union - Democratic Union (US-DEU)"
"Czech Republic/Czechia_2006","Czech Republic/Czechia","2006","A",2030002,"Czech Republic/Czechia","  Civic Democratic Party (ODS)"
"Czech Republic/Czechia_2006","Czech Republic/Czechia","2006","B",2030001,"Czech Republic/Czechia","  Czech Social Democratic Party (CSSD)"
"Czech Republic/Czechia_2006","Czech Republic/Czechia","2006","C",2030004,"Czech Republic/Czechia","  Communist Party of Bohemia and Moravia (KSCM)"
"Czech Republic/Czechia_2006","Czech Republic/Czechia","2006","D",2030003,"Czech Republic/Czechia","  Christian Democratic Union - Czech People's Party (KDU-CSL)"
"Czech Republic/Czechia_2006","Czech Republic/Czechia","2006","E",2030005,"Czech Republic/Czechia","  Green Party (SZ)"
