id,country,year,Party,party,num_id,lhvote,lhseat,voterlr,pre_gov,post_gov,pmalt,prepmalt,partycountry,maj,pres,plu,majsurvey,nparty,wmedlrcvr,difmedlrcvr,remove_s,nelec,missing
BGR_2014,BGR,2014,MRF,C,1000003,14.84,15.83,4.301690507,1,0,0,0,BGR MRF,0,0,0,0,8,0,2.089000607,0,2,0
BGR_2014,BGR,2014,RB,D,1000004,8.89,9.58,8.04505632,0,1,0,0,BGR RB,0,0,0,0,8,0,1.654365206,0,2,0
BGR_2014,BGR,2014,PF,E,1000005,7.28,7.92,6.390691114,0,0,0,0,BGR PF,0,0,0,0,8,1,0,0,2,0
BGR_2014,BGR,2014,BBZ,F,1000006,5.69,6.25,5.362017804,0,0,0,0,BGR BBZ,0,0,0,0,8,0,1.02867331,0,2,0
BGR_2014,BGR,2014,Attack,G,1000007,4.52,4.58,5.020253165,0,0,0,0,BGR Attack,0,0,0,0,8,0,1.37043795,0,2,0
BGR_2014,BGR,2014,ABV,H,1000008,4.15,4.58,2.267753201,0,1,0,0,BGR ABV,0,0,0,0,8,0,4.122937913,0,2,0
BLR_2001,BLR,2001,CPB,A,1120001,NA,NA,2.665871122,NA,NA,0,0,BLR CPB,NA,0,NA,0,6,NA,NA,0,2,1
BLR_2001,BLR,2001,AP,B,1120004,NA,NA,4.536964981,NA,NA,0,0,BLR AP,NA,0,NA,0,6,NA,NA,0,2,1
BLR_2001,BLR,2001,LDP,D,1120002,NA,NA,5.301587302,NA,NA,0,0,BLR LDP,NA,0,NA,0,6,NA,NA,0,2,1
BLR_2001,BLR,2001,BSDP,G,1120019,NA,NA,5.033962264,NA,NA,0,0,BLR BSDP,NA,0,NA,0,6,NA,NA,0,2,1
BLR_2001,BLR,2001,UCP,H,1120005,NA,NA,5.642512077,NA,NA,0,0,BLR UCP,NA,0,NA,0,6,NA,NA,0,2,1
BLR_2001,BLR,2001,BPF,I,1120017,NA,NA,4.879396985,NA,NA,0,0,BLR BPF,NA,0,NA,0,6,NA,NA,0,2,1
